C00012	C03011	3e98de67
C00026	C05381	89aad0d0
C00064	C00169	2e6e598e
C00064	C00352	8eb134ed
C00064	C02282	6913eb0a
C00064	C03090	433bab35
C00415	C00101	b1971742
C00415	C00143	77f892b3
C00415	C00504	b1971742
C00415	C00921	46182a6
C00669	C00051	8552bc9f
C00669	C00097	71cb264c
C00669	C01879	71cb264c
C02987	C01641	6cc407c7
C03287	C01165	529802da
C03541	C00101	725a0d1
C03912	C00148	5fd00316
C05928	C00234	46182a6
C05928	C05929	46182a6
C09332	C00101	46182a6
C00091	C00042	4964ad67
C00091	C01213	50cb1c83
C00311	C00158	382606b7
C00311	C00417	382606b7
C05381	C00068	89aad0d0
C05381	C16254	89aad0d0
C00029	C00052	8f6b53d7
C00029	C00103	56e90f8b
C00029	C00167	2318b030
C00052	C00243	9353195f
C00052	C00446	c1626720
C00103	C00092	176ffee9
C00103	C00394	1784653b
C00103	C01231	ed724c27
C00167	C00190	198c381
C00167	C00191	af63f0cf
C00167	C03033	af63f0cf
C00031	C00089	f3984897
C00031	C00092	618cf551
C00031	C00198	c8b52a24
C00031	C00208	f3984897
C00031	C00243	550bed64
C00031	C00369	2ca9199d
C00031	C00794	7c11e67b
C00031	C01190	cf84e839
C00031	C05402	d0f954ce
C00031	C05403	550bed64
C00089	C00095	f3984897
C00089	C00492	d0f954ce
C00092	C00085	24adbcc5
C00092	C01236	ad0a40ed
C00092	C04006	ae8d8b0
C00243	C00124	550bed64
C00794	C00095	3005759e
C00794	C01096	618cf551
C00794	C05399	d0f954ce
C01190	C00195	cf84e839
C01190	C01290	550bed64
C05402	C00124	d0f954ce
C05402	C05404	d0f954ce
C05403	C05394	550bed64
C00032	C00500	1412f11b
C00032	C00524	fc2a6150
C00032	C02191	5f494b4c
C00500	C00486	ffc25bf2
C00524	C02248	fc2a6150
C02191	C01079	8b87f342
C00084	C00469	62ae4759
C00084	C00673	7f0b95bb
C00084	C04895	d7216a91
C00357	C00140	a4b02411
C00357	C00352	8c329c73
C00357	C04501	60e20673
C00437	C00077	d45fd43
C00548	C00146	22ca225f
C01288	C01194	14e0522f
C01288	C04248	a6d75202
C04598	C03820	395f97aa
C04598	C04317	14dbec73
C05727	C05726	d45fd43
C06376	C06377	f7a2c09c
C13636	C00530	22ca225f
C00049	C00152	33f00bb5
C00049	C00438	2e6e598e
C00049	C02984	bf9518e6
C00049	C03406	9b2e9c81
C00049	C03794	684e5632
C00049	C04540	8a838324
C00049	C04823	d0eef2e9
C00158	C00417	382606b7
C00037	C00051	8552bc9f
C00037	C00065	b8183d75
C00037	C00430	403f14f
C00037	C00581	9ef295f3
C00037	C01419	6c7216d3
C00037	C02412	e17d0cb3
C00037	C03838	133fff1f
C00037	C05729	6c7216d3
C00051	C00127	351c0bda
C00051	C01031	fe33faac
C00051	C02166	da65839f
C00051	C02320	c78b9fe8
C00051	C03451	c16b9572
C00051	C03899	c16b9572
C00051	C05526	78e2202d
C00051	C11278	c78b9fe8
C00051	C11583	c78b9fe8
C00051	C14791	c78b9fe8
C00051	C14792	c78b9fe8
C00051	C14793	c78b9fe8
C00051	C14803	c78b9fe8
C00051	C14804	c78b9fe8
C00051	C14805	c78b9fe8
C00051	C14806	c78b9fe8
C00051	C14847	c78b9fe8
C00051	C14848	c78b9fe8
C00051	C14855	c78b9fe8
C00051	C14856	c78b9fe8
C00051	C14861	c78b9fe8
C00051	C14863	c78b9fe8
C00051	C14864	c78b9fe8
C00051	C14865	c78b9fe8
C00051	C14868	c78b9fe8
C00051	C14871	c78b9fe8
C00051	C14874	c78b9fe8
C00051	C17267	9e268d6d
C00065	C00740	79c57998
C00065	C01005	a3142d49
C00065	C02553	e6198a02
C00065	C02737	95be21ec
C00065	C02934	ccee8c17
C00065	C04377	b8183d75
C00065	C06481	e6198a02
C00430	C00931	8efbf685
C00581	C00062	9ef295f3
C00581	C00300	72e53208
C01419	C00097	6c7216d3
C02412	C01642	e17d0cb3
C03838	C03090	133fff1f
C03838	C04376	133fff1f
C05729	C05726	6c7216d3
C00039	C02128	ec7b9340
C02128	C02374	5e7044a7
C00097	C00606	1b2863b7
C00097	C00957	f78c1003
C00097	C03125	391a46f5
C00097	C04352	42e823fc
C00097	C05526	78e2202d
C00097	C06751	2f384fa6
C00097	C19691	2f384fa6
C00328	C00108	a14839bf
C00328	C02700	7c12e930
C00886	C01635	85a309f4
C02700	C00058	7c12e930
C02700	C05653	a14839bf
C02999	C02713	2b31066b
C03227	C00632	a14839bf
C00042	C00122	a2513625
C00122	C03406	90445782
C00122	C03794	1290a357
C00122	C04823	1290a357
C00043	C00203	8f6b53d7
C00043	C00645	47ebdf5d
C00043	C01170	47ebdf5d
C00043	C04501	6c724db1
C00645	C00140	7c66b254
C00645	C01170	47ebdf5d
C00645	C04257	47ebdf5d
C00046	C02073	b542ee76
C00047	C01931	908d1ee2
C00047	C05341	cdef88bf
C00047	C05552	7d328d19
C01931	C01646	908d1ee2
C05341	C00099	cdef88bf
C05552	C00120	7d328d19
C00048	C00160	97546212
C00048	C03303	daec9b8a
C00160	C00988	77f16a36
C03303	C02179	daec9b8a
C03303	C02303	daec9b8a
C00152	C03402	18834349
C00438	C00169	2e6e598e
C00438	C00337	2e6e598e
C02984	C01638	bf9518e6
C03406	C00062	90445782
C03406	C00327	9b2e9c81
C04540	C01239	8a838324
C04823	C04677	1290a357
C04823	C04751	d0eef2e9
C01031	C00058	fe33faac
C01031	C14180	b0541191
C02166	C00909	da65839f
C03451	C00256	c16b9572
C03451	C00546	632ad5c5
C03899	C02929	c16b9572
C11278	C19586	c78b9fe8
C11583	C07645	c78b9fe8
C14791	C14786	c78b9fe8
C14792	C14787	c78b9fe8
C14793	C14787	c78b9fe8
C14803	C14802	c78b9fe8
C14804	C14802	c78b9fe8
C14805	C14800	c78b9fe8
C14806	C14800	c78b9fe8
C14847	C14839	c78b9fe8
C14848	C14840	c78b9fe8
C14855	C14851	c78b9fe8
C14856	C14852	c78b9fe8
C14861	C14858	c78b9fe8
C14863	C14865	c78b9fe8
C14864	C14859	c78b9fe8
C14865	C14857	c78b9fe8
C14868	C06790	c78b9fe8
C14871	C14870	c78b9fe8
C14874	C11088	c78b9fe8
C00446	C00124	aca893c7
C00053	C00054	e76b8596
C00053	C00224	22cb027f
C00224	C00059	22cb027f
C00058	C00234	c0610090
C00058	C05648	7c12e930
C00058	C05653	7c12e930
C00058	C11439	c6a8a8f9
C00058	C15606	ae3daaf6
C00234	C00101	133fff1f
C00234	C00445	976fec19
C05648	C05651	7c12e930
C05653	C00108	7c12e930
C11439	C11440	c6a8a8f9
C15606	C01180	ae3daaf6
C15606	C08276	ae3daaf6
C15606	C15650	ef07bf3a
C00061	C00255	fba13002
C00255	C01007	55a10178
C00062	C00077	7380abca
C00062	C00086	7380abca
C00062	C00179	4d0cfe79
C00062	C00327	e694e714
C00062	C01201	8bff935e
C00062	C02163	9481f7b
C00062	C05340	cdef88bf
C00077	C00134	ef93a5c9
C00077	C01165	a9fb8951
C00077	C04322	a9fb8951
C00327	C03626	8232e7cf
C01201	C00301	8bff935e
C02163	C01636	9481f7b
C05340	C00099	cdef88bf
C00352	C00085	8eb134ed
C00352	C00329	618cf551
C02282	C01640	6913eb0a
C02282	C06112	e18f124c
C03090	C00119	433bab35
C00740	C02532	a3142d49
C01005	C03232	45cae090
C02553	C01650	e6198a02
C02737	C00162	7a7b4e9c
C02737	C00350	95be21ec
C02737	C05974	7a7b4e9c
C02934	C00154	ccee8c17
C02934	C00836	171e8d34
C04377	C01217	b8183d75
C06481	C16636	e6198a02
C06481	C16638	d72cda2
C00066	C03880	8f113689
C03880	C03523	8f113689
C00068	C00378	df83c45a
C00068	C03028	df83c45a
C00068	C13378	265dee23
C00068	C15974	62d898e7
C00068	C15976	62d898e7
C00068	C15978	62d898e7
C15974	C00233	62d898e7
C15974	C15975	62d898e7
C15976	C00141	62d898e7
C15976	C15977	62d898e7
C15978	C00671	62d898e7
C15978	C15979	62d898e7
C00071	C00162	827b37c8
C00071	C00226	62ae4759
C00071	C00375	c51d5774
C00162	C00157	7a7b4e9c
C00162	C00195	22a03255
C00162	C00350	7a7b4e9c
C00162	C00422	a4a57016
C00162	C00641	3b89b435
C00162	C00958	7a7b4e9c
C00162	C01885	a983eb6a
C00162	C01958	7c70324
C00162	C02112	a983eb6a
C00162	C04230	972affbd
C00162	C04233	972affbd
C00162	C04438	972affbd
C00162	C05973	972affbd
C00162	C11547	abff0529
C00162	C12126	22a03255
C00162	C12145	22a03255
C02430	C01647	cdceda70
C02430	C03294	5f7a0bc
C00631	C00197	68adf54f
C00134	C00315	9f5d144e
C00134	C00612	6b9f7329
C00134	C02714	967c228
C00078	C00331	1baa9312
C00078	C03512	c446489e
C03512	C01652	c446489e
C00079	C00166	1baa9312
C00079	C02505	29c2386e
C00079	C03511	4b8bf7f3
C00166	C02763	981a33c6
C03511	C01648	4b8bf7f3
C00082	C01179	1baa9312
C00082	C01392	a1b59f86
C00082	C02839	ac8dfb49
C01179	C05350	981a33c6
C01392	C05234	a1b59f86
C02839	C00787	ac8dfb49
C00288	C00683	709b047e
C00288	C03231	58123af6
C01209	C05744	96525db4
C01209	C05746	96525db4
C01209	C05750	96525db4
C01209	C05753	96525db4
C01209	C05756	96525db4
C01209	C05759	96525db4
C01209	C05762	96525db4
C01209	C16219	31e3d0f6
C01209	C20372	b3a20dad
C01209	C20376	b3a20dad
C00673	C00118	7f0b95bb
C00673	C01801	360872f
C04895	C03684	d7216a91
C04895	C20239	d7216a91
C00085	C00095	618cf551
C00085	C00118	311427f1
C00085	C00275	bc370765
C00085	C00279	265dee23
C00085	C00354	a13b3481
C00085	C00665	df77c25d
C00095	C01094	ae48c621
C00118	C00111	6f1a34f8
C00118	C00231	265dee23
C00118	C00236	efd83ea7
C00118	C00354	9ea7ab70
C00275	C00159	618cf551
C00275	C00636	e936660a
C00279	C00447	9ea7ab70
C00279	C05382	311427f1
C00354	C00111	9ea7ab70
C00087	C00094	9e268d6d
C00492	C00124	d0f954ce
C00492	C01613	d0f954ce
C00090	C01502	b352a2ed
C00090	C04221	ffb66fc1
C01213	C00683	31bfe111
C01213	C06002	71cde308
C01236	C00345	c8b52a24
C04006	C00137	54803ae9
C04006	C04063	76023df5
C00093	C00111	4f44c96a
C00093	C00116	19f6194f
C00093	C00513	8ce48bd6
C00093	C00681	5e5cc281
C00093	C03892	5c4e117b
C00111	C00184	fba13002
C00111	C00447	9ea7ab70
C00111	C01094	9ea7ab70
C00111	C03372	25cab728
C00116	C00422	a4a57016
C00116	C00577	62ae4759
C00116	C01885	6083cd09
C00116	C02112	a983eb6a
C00116	C05401	d0f954ce
C00681	C00416	96a4f94a
C00681	C01885	89477179
C03892	C00269	5c4e117b
C01094	C00577	9ea7ab70
C00096	C00636	f3bd1ac9
C00096	C01222	80aedb6
C01222	C00325	e1e240da
C01222	C14830	e1e240da
C00606	C00519	8dc2a29
C00606	C05527	f78c1003
C00957	C05823	9c7b9a83
C03125	C01639	391a46f5
C04352	C01134	d38bb0c9
C04352	C03492	42e823fc
C04352	C04079	95561c0f
C06751	C07330	2f384fa6
C19691	C03461	2f384fa6
C00099	C00386	42e9f7b7
C00099	C01262	cdef88bf
C00099	C05665	827b37c8
C00386	C00135	42e9f7b7
C01262	C01152	cdef88bf
C05665	C00750	f26348f6
C00100	C00163	dd1f0e5a
C00100	C00683	709b047e
C00100	C00894	1db28e09
C00100	C02557	83600069
C00100	C03344	91dc8cd
C00100	C05449	a8b4924d
C00100	C05467	a8b4924d
C00100	C06002	71cde308
C00894	C05668	6aafe1da
C03344	C04405	6b3fa003
C05449	C05337	a8b4924d
C05449	C05448	6b3fa003
C05467	C01794	a8b4924d
C05467	C05450	6b3fa003
C06002	C02170	7b3e9492
C06002	C06001	6b3fa003
C00101	C00143	b8183d75
C00101	C00440	4af83256
C00101	C00445	133fff1f
C00101	C00504	b1971742
C00143	C00440	f01d58bd
C00143	C00445	976fec19
C00445	C03479	7929d29e
C00106	C00299	fb09c58a
C00106	C00526	1ecd91fb
C00109	C00332	e12c497
C00109	C05984	9c7b9a83
C00332	C01144	6b3fa003
C00110	C00381	4425a2f1
C00110	C00621	2da90558
C00110	C01246	7b32fe1a
C00110	C03862	ea922ade
C00110	C04500	464317fe
C00621	C04213	5d938418
C04500	C04537	4795680f
C00447	C05382	a13b3481
C03372	C03129	2405cf4a
C03372	C03715	2405cf4a
C00114	C00157	5cf10225
C00114	C00576	b0541191
C00114	C00588	79bcbde9
C00157	C00219	7a7b4e9c
C00157	C00416	5cf10225
C00157	C00641	395f97aa
C00157	C00670	972affbd
C00157	C01595	7a7b4e9c
C00157	C04230	7a7b4e9c
C00157	C04233	7a7b4e9c
C00157	C06427	7a7b4e9c
C00576	C00719	16529a68
C00588	C00307	39eb379
C00588	C00550	6a70f4f9
C00422	C00165	6083cd09
C00422	C00641	3b89b435
C00577	C00258	7b3e9492
C01885	C00165	6083cd09
C01885	C00641	3b89b435
C02112	C00641	3b89b435
C02112	C03974	89477179
C05401	C00124	d0f954ce
C00117	C00119	cb39ff98
C00117	C00121	360872f
C00117	C00199	bce59fd9
C00117	C00301	8ce48bd6
C00117	C05382	265dee23
C00199	C00231	2969dc72
C00199	C00345	c7caed2a
C00301	C13050	37f8148e
C00301	C16011	8bff935e
C00231	C00310	1f5c8deb
C00236	C00197	ad89e39e
C00236	C01159	a1be41d5
C00120	C01893	7d328d19
C00120	C04681	7977284e
C00120	C04682	7977284e
C00120	C04727	7977284e
C00120	C04801	7977284e
C04681	C04735	7977284e
C04682	C04736	7977284e
C04727	C04763	7977284e
C04801	C04827	7977284e
C00123	C00233	aa7f9639
C00123	C02047	c57ac2a4
C02047	C01645	c57ac2a4
C00124	C01235	d0f954ce
C00124	C01290	550bed64
C00124	C01613	d0f954ce
C00124	C01697	7c11e67b
C00124	C02686	233f528a
C00124	C04737	d0f954ce
C00124	C04911	550bed64
C00124	C05399	d0f954ce
C00124	C05400	d0f954ce
C00124	C05404	d0f954ce
C00124	C05796	550bed64
C00124	C06037	d0f954ce
C00124	C06126	d0f954ce
C00124	C06136	550bed64
C01235	C00137	d0f954ce
C01290	C04730	fedbb145
C01290	C04737	d0f954ce
C01290	C04845	7ffd8038
C01290	C06135	697d4f2e
C02686	C00195	233f528a
C02686	C06125	91060156
C02686	C06126	d0f954ce
C02686	C06128	8c096da3
C04737	C03272	697d4f2e
C04911	C04884	550bed64
C04911	C04927	dcff800e
C04911	C06136	fedbb145
C04911	C06141	1aa24e75
C05400	C00159	d0f954ce
C06037	C03692	d0f954ce
C06136	C06135	550bed64
C00129	C00235	3e084768
C00129	C00341	a5f830dd
C00129	C00353	1a2e05c2
C00129	C00448	a5f830dd
C00129	C01143	5e8a6e7f
C00129	C17432	6399c904
C00235	C04432	b1b8b5f4
C00448	C00751	af2c4a67
C00448	C05859	d0e0e6c1
C00448	C20120	df4758c7
C01143	C01107	36d65d96
C00315	C00750	f26348f6
C00315	C00986	35e3ccb0
C00315	C02567	6b9f7329
C00612	C18170	6b9f7329
C02714	C05936	c51d5774
C00135	C00388	f3d63ec7
C00135	C00785	78caea9a
C00135	C00884	42e9f7b7
C00135	C02988	9ca49a96
C00388	C05127	1f292026
C00884	C00334	42e9f7b7
C02988	C01643	9ca49a96
C00136	C00877	83686637
C00136	C18026	709b047e
C00877	C00527	9598ba19
C00877	C01144	6aafe1da
C00877	C02411	9598ba19
C00877	C05116	6aafe1da
C18026	C20238	31bfe111
C00137	C01177	54803ae9
C00137	C01194	bfe9d127
C00137	C03546	54803ae9
C01177	C04062	3727271a
C01194	C00269	bfe9d127
C01194	C01277	f6f08b10
C01194	C04549	3727271a
C03546	C01220	f1436ca0
C00140	C00611	8f7c753e
C00140	C01674	697d4f2e
C00140	C04755	cb2f7a66
C00140	C19802	b557675e
C00140	C19804	b557675e
C00611	C04847	e62b4d6e
C00611	C04886	80503207
C04755	C04010	cb2f7a66
C19802	C06395	b557675e
C19804	C19803	b557675e
C00141	C00183	aa7f9639
C00183	C02554	7bc2731b
C00146	C00850	6a5d0654
C00146	C03254	22ca225f
C03254	C02534	22ca225f
C00147	C00559	1ecd91fb
C00148	C01015	51d25b69
C00148	C02702	71e436d0
C01015	C04281	5fd00316
C02702	C01649	71e436d0
C03402	C01637	18834349
C03402	C06113	e18f124c
C00153	C00455	3d203b2e
C00153	C03150	1ecd91fb
C00455	C03150	f579089a
C00154	C00249	2811bbb
C00154	C02990	6f85db24
C00154	C05272	1fbf93fe
C00154	C16216	31e3d0f6
C00249	C05764	96525db4
C00249	C17202	7ddb6df7
C02990	C00318	6f85db24
C05272	C05258	6aafe1da
C16216	C16217	c1bfd3f9
C00219	C00427	474462a5
C00219	C02249	bb91a15b
C00219	C14749	6a0cf964
C00219	C14768	6a0cf964
C00219	C14769	6a0cf964
C00219	C14770	6a0cf964
C00219	C14771	6a0cf964
C00219	C14778	6a0cf964
C00416	C00269	39d456e4
C00416	C00350	5cf10225
C00416	C00641	ae3b4bbe
C00641	C00350	395f97aa
C00641	C04637	2bded4e0
C00670	C04230	972affbd
C00670	C04233	972affbd
C01595	C02050	bb91a15b
C01595	C14825	6a0cf964
C01595	C14826	6a0cf964
C06427	C16162	bb91a15b
C00417	C00490	4c7c32f2
C00159	C02478	7fbe5f16
C00159	C02492	7fbe5f16
C00195	C00319	1a20c343
C00195	C00550	6a70f4f9
C00195	C02960	ae3b4bbe
C00350	C00189	5cf10225
C00350	C01241	6e313b98
C00350	C04438	7a7b4e9c
C00350	C05973	7a7b4e9c
C00958	C04517	7a7b4e9c
C01958	C00370	7c70324
C04438	C01233	972affbd
C05973	C01233	972affbd
C11547	C11548	abff0529
C12126	C00836	1a20c343
C12145	C12144	1a20c343
C00165	C05675	395f97aa
C00165	C05676	395f97aa
C05675	C05673	395f97aa
C05676	C05674	395f97aa
C00191	C03033	c5a6b285
C00191	C04900	c5a6b285
C00191	C05787	c5a6b285
C00191	C11376	c5a6b285
C00168	C00258	97546212
C00168	C01146	5a19f5d6
C04188	C04582	1977010c
C00173	C00229	96a4f94a
C00229	C05223	96525db4
C00229	C05745	96525db4
C00229	C05749	96525db4
C00229	C05752	ef1d77d5
C00229	C05755	96525db4
C00229	C05761	96525db4
C00229	C05764	96525db4
C00229	C16239	ef1d77d5
C00229	C19673	b3a20dad
C00229	C20375	b3a20dad
C00180	C06206	2ea4f15b
C00181	C00379	7c11e67b
C00181	C02266	ffb66fc1
C00379	C00312	361787bb
C02554	C01653	7bc2731b
C00187	C01164	8a5a9634
C00187	C01802	671fb84a
C00187	C02530	7c70324
C00187	C15519	e1bc9fb4
C01164	C01189	7be44662
C01164	C05107	671fb84a
C00188	C02992	54ac8de2
C02992	C01651	54ac8de2
C00189	C00346	bd0b907a
C00189	C04476	a4c895
C00189	C04635	a4c895
C00189	C04756	5cf10225
C00346	C00570	1398dd21
C00346	C01120	b00b8f48
C00346	C06124	b00b8f48
C04476	C03968	a4c895
C04635	C04756	7a7b4e9c
C04635	C15646	a4c895
C04756	C03454	395f97aa
C04756	C15647	5cf10225
C04900	C12632	c5a6b285
C05787	C00486	af63f0cf
C05787	C05791	c5a6b285
C11376	C11173	c5a6b285
C00194	C00853	2266b681
C00319	C06124	ae3b4bbe
C00550	C03640	1a20c343
C00197	C01159	a1be41d5
C00197	C03232	be1f58c
C05692	C05698	95a48a35
C00217	C00819	b9c824b5
C00218	C00788	c51d5774
C00218	C05588	c51d5774
C00218	C16608	c51d5774
C00788	C05577	c51d5774
C00788	C05588	b352a2ed
C05588	C05583	c51d5774
C16608	C07572	6a0cf964
C16608	C16609	6a0cf964
C16608	C16612	c51d5774
C00427	C00584	45779693
C00427	C00639	335f9ed4
C00427	C00696	273d10f8
C00427	C02198	15098de4
C05223	C05758	96525db4
C05223	C05759	96525db4
C05745	C05746	96525db4
C05749	C05748	96525db4
C05749	C05750	96525db4
C05752	C05751	96525db4
C05752	C05753	96525db4
C05752	C16236	ef1d77d5
C05752	C16239	b9651f88
C05755	C05754	96525db4
C05755	C05756	96525db4
C05761	C05760	96525db4
C05761	C05762	96525db4
C05764	C05763	96525db4
C05764	C16219	31e3d0f6
C16239	C16237	ef1d77d5
C19673	C20372	b3a20dad
C20375	C20376	b3a20dad
C00242	C00330	1ecd91fb
C00242	C00385	6b035a34
C00242	C00387	1ecd91fb
C00385	C00262	8cb81bcb
C00385	C00366	8cb81bcb
C00385	C01762	1ecd91fb
C00245	C00506	8dc2a29
C00245	C01959	9ef295f3
C00506	C05528	f78c1003
C00247	C01507	3005759e
C00248	C00579	ea706f06
C17202	C02743	7ddb6df7
C00253	C05841	1ecd91fb
C00253	C13051	37f8148e
C05841	C01185	f579089a
C13051	C20742	37f8148e
C00259	C00532	7c11e67b
C00262	C00294	1ecd91fb
C00262	C05512	1ecd91fb
C00640	C00658	6aafe1da
C01086	C01122	6aafe1da
C00268	C15522	f46244e9
C04730	C04884	697d4f2e
C04730	C06133	1aa24e75
C04884	C01132	697d4f2e
C04884	C06134	1aa24e75
C04884	C06135	fedbb145
C04927	C06140	1aa24e75
C06139	C06138	1aa24e75
C06139	C06140	8c096da3
C06140	C06141	dcff800e
C06241	C04257	1c644224
C00272	C03684	2f84e90b
C03684	C04244	2f84e90b
C00280	C00535	de5cdf09
C00280	C00674	3c0eb167
C00280	C05296	6a0cf964
C00535	C03917	3c0eb167
C00535	C05291	6a0cf964
C00535	C11134	af63f0cf
C03231	C03069	58123af6
C00292	C07565	b8678bd2
C00295	C00337	96534c63
C00295	C01103	7bae5f0e
C00300	C02305	d2b1b5a
C16011	C00613	87dbb115
C02567	C18170	6b9f7329
C00318	C02838	15cd79d5
C06124	C06123	b00b8f48
C00322	C00527	ea706f06
C00527	C02411	9598ba19
C00325	C02985	dcde568e
C00325	C14830	e1e240da
C03626	C00543	8232e7cf
C00329	C01075	e2373e38
C00334	C00555	7b3e9492
C00334	C01035	9ef295f3
C00339	C02434	d00752d6
C01120	C00517	b00b8f48
C01120	C00836	ae3b4bbe
C00349	C01188	e42748c1
C01188	C04047	89dc64bb
C00418	C01107	a348dcc9
C00376	C00473	cb49ccf3
C00473	C02075	d00752d6
C00473	C02588	d00752d6
C00473	C15492	335d14
C05127	C05827	c51d5774
C00398	C00637	c51d5774
C00637	C00954	7b3e9492
C00399	C17562	45163ad1
C00401	C00634	b79cfd0f
C00401	C00635	d75b41ce
C00401	C01490	9823423c
C01490	C15558	d75b41ce
C00407	C00671	1baa9312
C00407	C03127	e5ea6778
C03127	C01644	e5ea6778
C00410	C03681	3c0eb167
C00412	C00510	1a2e8dc7
C00412	C01530	bb91a15b
C00412	C16218	1fbf93fe
C00510	C00712	bb91a15b
C16218	C16217	51b157e8
C00490	C00531	4964ad67
C00419	C03463	b306404
C00419	C03475	c9f87e17
C00584	C00639	9bba1131
C00429	C02642	cfad6228
C00931	C01024	5ed59229
C00751	C01054	e64c33e
C20120	C04506	4ff889bf
C20120	C20119	df4758c7
C00468	C00951	a43daa60
C00468	C05298	6a0cf964
C00468	C05300	6a0cf964
C00468	C11133	af63f0cf
C00951	C05141	6a0cf964
C00951	C05301	6a0cf964
C00951	C05503	af63f0cf
C05298	C05299	b352a2ed
C05300	C05141	a43daa60
C00483	C03765	c51d5774
C03765	C00642	827b37c8
C00487	C02571	967f9c8e
C05528	C11537	9abc77d2
C00519	C01678	66454c98
C00523	C11135	af63f0cf
C00543	C07572	c51d5774
C07572	C16607	6a0cf964
